ID_ISIN,Bloomberg,Yahoo,Industry
DE0007500001,TKA GY Equity,TKA.DE,Iron/Steel
LU0323134006,MT NA Equity,MT.AS,Iron/Steel
LU0323134006,MTS SM Equity,MTS.MC,Iron/Steel
ES0132105018,ACX SM Equity,ACX.MC,Iron/Steel
GB0031215220,CCL LN Equity,CCL.L,Leisure Time
DE000TUAG000,TUI LN Equity,TUI.L,Leisure Time
GB00B1VYCH82,TCG LN Equity,TCG.L,Leisure Time
GB00B1KJJ408,WTB LN Equity,WTB.L,Lodging
GB00BYXK6398,IHG LN Equity,IHG.L,Lodging
GB0005622542,MLC LN Equity,MLC.L,Lodging
FR0000120404,AC FP Equity,AC.PA,Lodging
GB0009465807,WEIR LN Equity,WEIR.L,Machinery-Diversified
GB00BWFGQN14,SPX LN Equity,SPX.L,Machinery-Diversified
GB0001411924,SKY LN Equity,SKY.L,Media
GB0033986497,ITV LN Equity,ITV.L,Media
GB0006776081,PSON LN Equity,PSON.L,Media
GB00BMJ6DW54,INF LN Equity,INF.L,Media
GB0006886666,ERM LN Equity,ERM.L,Media
FR0000127771,VIV FP Equity,VIV.PA,Media
DE000PSM7770,PSM GY Equity,SDF.DE,Media
NL0000395903,WKL NA Equity,WKL.AS,Media
NL0011333752,ATC NA Equity,ATC.AS,Media
ES0152503035,TL5 SM Equity,TL5.MC,Media
GB00B3FLWH99,BOY LN Equity,BOY.L,Metal Fabricate/Hardware
GB0007188757,RIO LN Equity,RIO.L,Mining
GB0000566504,BLT LN Equity,BLT.L,Mining
JE00B4T3BW64,GLEN LN Equity,GLEN.L,Mining
GB00B1XZS820,AAL LN Equity,AAL.L,Mining
GB00B01C3S32,RRS LN Equity,RRS.L,Mining
GB00B2QPKJ12,FRES LN Equity,FRES.L,Mining
GB0000456144,ANTO LN Equity,ANTO.L,Mining
JE00B6T5S470,POLY LN Equity,POLY.L,Mining
JE00B5TT1872,CEY LN Equity,CEY.L,Mining
GB00B61D2N63,ACA LN Equity,ACA.L,Mining
GB0033277061,VED LN Equity,VED.L,Mining
GB00B0HZPV38,KAZ LN Equity,KAZ.L,Mining
GB00B1WY2338,SMIN LN Equity,SMIN.L,Miscellaneous Manufactur
GB00BGLP8L22,IMI LN Equity,IMI.L,Miscellaneous Manufactur
GB00B82YXW83,VSVS LN Equity,VSVS.L,Miscellaneous Manufactur
GB0007958233,SNR LN Equity,SNR.L,Miscellaneous Manufactur
GB0006027295,MGAM LN Equity,MGAM.L,Miscellaneous Manufactur
DE0007236101,SIE GY Equity,SIE.DE,Miscellaneous Manufactur
NL0000852564,AALB NA Equity,AALB.AS,Miscellaneous Manufactur
GB00B03MLX29,RDSA LN Equity,RDSA.L,Oil&Gas
GB0007980591,BP/ LN Equity,BP.L,Oil&Gas
GB00B03MM408,RDSB LN Equity,RDSB.L,Oil&Gas
IE0002424939,DCC LN Equity,DCC.L,Oil&Gas
GB0001500809,TLW LN Equity,TLW.L,Oil&Gas
GB00B74CDH82,CNE LN Equity,CNE.L,Oil&Gas
GB00B24CT194,OPHR LN Equity,OPHR.L,Oil&Gas
FR0000120271,FP FP Equity,FP.PA,Oil&Gas
GB00B03MLX29,RDSA NA Equity,RDSA.AS,Oil&Gas
ES0173516115,REP SM Equity,REP.MC,Oil&Gas
GB00B5N0P849,WG/ LN Equity,WG.L,Oil&Gas Services
GB00B0H2K534,PFC LN Equity,PFC.L,Oil&Gas Services
GB0000282623,AMFW LN Equity,AMFW.L,Oil&Gas Services
FR0000131708,TEC FP Equity,TEC.PA,Oil&Gas Services
NL0000360618,SBMO NA Equity,SBMO.AS,Oil&Gas Services
GB00BMHTPY25,REX LN Equity,REX.L,Packaging&Containers
GB0007197378,RPC LN Equity,RPC.L,Packaging&Containers
GB0009252882,GSK LN Equity,GSK.L,Pharmaceuticals
GB0009895292,AZN LN Equity,AZN.L,Pharmaceuticals
JE00B2QKY057,SHP LN Equity,SHP.L,Pharmaceuticals
GB00B0LCW083,HIK LN Equity,HIK.L,Pharmaceuticals
GB0001001592,BTG LN Equity,BTG.L,Pharmaceuticals
GB00BRS65X63,INDV LN Equity,INDV.L,Pharmaceuticals
GB0009633180,DPH LN Equity,DPH.L,Pharmaceuticals
GB00B01D1K48,VEC LN Equity,VEC.L,Pharmaceuticals
FR0000120578,SAN FP Equity,SAN.PA,Pharmaceuticals
DE000BAY0017,BAYN GY Equity,BAYN.DE,Pharmaceuticals
DE0006599905,MRK GY Equity,MRK.DE,Pharmaceuticals
ES0171996087,GRF SM Equity,GRF.MC,Pharmaceuticals
NL0009432491,VPK NA Equity,VPK.AS,Pipelines
GB00B1YW4409,III LN Equity,III.L,Private Equity
GB0007892358,SVI LN Equity,SVI.L,Private Equity
GB00B128J450,IPO LN Equity,IPO.L,Private Equity
GB00BLRLH124,ALM LN Equity,ALM.L,Private Equity
GB00B62G9D36,CAPC LN Equity,CAPC.L,Real Estate
JE00B3CGFD43,RGU LN Equity,RGU.L,Real Estate
GB0006928617,UTG LN Equity,UTG.L,Real Estate
JE00BJT32513,KWE LN Equity,KWE.L,Real Estate
GB00B04V1276,GRI LN Equity,GRI.L,Real Estate
GB00BYNVD082,MCS LN Equity,MCS.L,Real Estate
GB00B9NWP991,CWD LN Equity,CWD.L,Real Estate
GB0007291015,SMP LN Equity,SMP.L,Real Estate
GB0002502036,DJAN LN Equity,DJAN.L,Real Estate
GB0001592475,CLI LN Equity,CLI.L,Real Estate
DE000A1ML7J1,VNA GY Equity,VNA.DE,Real Estate
GB0031809436,LAND LN Equity,LAND.L,REITS
GB0001367019,BLND LN Equity,BLND.L,REITS
GB0004065016,HMSO LN Equity,HMSO.L,REITS
GB0006834344,INTU LN Equity,INTU.L,REITS
GB0002652740,DLN LN Equity,DLN.L,REITS
GB00B5ZN1N88,SGRO LN Equity,SGRO.L,REITS
GB00B01FLL16,GPOR LN Equity,GPOR.L,REITS
GB0007990962,SHB LN Equity,SHB.L,REITS
GB0002869419,BYG LN Equity,BYG.L,REITS
GB00BG49KP99,BBOX LN Equity,BBOX.L,REITS
GB00B4WFW713,LMP LN Equity,LMP.L,REITS
GB00B67G5X01,WKP LN Equity,WKP.L,REITS
GB00BVGBWW93,AGR LN Equity,ROR.L,REITS
GB00B0PPFY88,HSTN LN Equity,HSTN.L,REITS
IM00B8BV8G91,RDI LN Equity,RDI.L,REITS
FR0000121964,LI FP Equity,LI.PA,REITS
FR0000124711,UL NA Equity,UL.AS,REITS
ES0105025003,MRL SM Equity,TUI.L,REITS
GB0033195214,KGF LN Equity,KGF.L,Retail
GB0032089863,NXT LN Equity,NXT.L,Retail
GB0031274896,MKS LN Equity,MKS.L,Retail
GB0007739609,TPK LN Equity,TPK.L,Retail
GB00B4Y7R145,DC/ LN Equity,DC.L,Retail
GB00B0HZP136,GNK LN Equity,GNK.L,Retail
LU1072616219,BME LN Equity,BME.L,Retail
GB00B2PDGW16,SMWH LN Equity,SMWH.L,Retail
IE00B00MZ448,GFTU LN Equity,GFTU.L,Retail
GB00B1S49Q91,DOM LN Equity,DOM.L,Retail
GB00B19NKB76,HOME LN Equity,HOME.L,Retail
GB00B1QH8P22,SPD LN Equity,SPD.L,Retail
GB00B126KH97,DEB LN Equity,DEB.L,Retail
GB00BJ62K685,PETS LN Equity,PETS.L,Retail
GB00BLY2F708,CARD LN Equity,CARD.L,Retail
GB00B1CKQ739,DNLM LN Equity,DNLM.L,Retail
GB00B012TP20,HFD LN Equity,HFD.L,Retail
GB00BMNQZP86,JD/ LN Equity,JD.L,Retail
GB0033040113,DRTY LN Equity,NXT.L,Retail
GB00B1FP6H53,MAB LN Equity,MAB.L,Retail
GB00B0YG1K06,RTN LN Equity,RTN.L,Retail
GB0001638955,JDW LN Equity,JDW.L,Retail
GB00B1JQBT10,PDG LN Equity,PDG.L,Retail
GB00BTC0LB89,DFS LN Equity,DFS.L,Retail
GB00B17MMZ46,LOOK LN Equity,LOOK.L,Retail
GB00B60BD277,SGP LN Equity,SGP.L,Retail
GB00B1P6ZR11,BWNG LN Equity,BWNG.L,Retail
GB00BJTNFH41,AO/ LN Equity,AO.L,Retail
GB00BQPW6Y82,CHOO LN Equity,CHOO.L,Retail
FR0000121485,KER FP Equity,KER.PA,Retail
ES0148396007,ITX SM Equity,ITX.MC,Retail
GB0000595859,ARM LN Equity,ARM.L,Semiconductors
DE0006231004,IFX GY Equity,IFX.DE,Semiconductors
