Bloomberg,Yahoo,Industry,Name,Curncy,CcyAdj,TickerMultiplier
VMC UN Equity,VMC,Materials,Vulcan Materials Co,USD,1,1
WY UN Equity,WY,Real Estate,Weyerhaeuser Co,USD,1,1
WHR UN Equity,WHR,Consumer Discretionary,Whirlpool Corp,USD,1,1
WMB UN Equity,WMB,Energy,Williams Cos Inc/The,USD,1,1
WEC UN Equity,WEC,Utilities,WEC Energy Group Inc,USD,1,1
ADBE UW Equity,ADBE,Information Technology,Adobe Inc,USD,1,1
AES UN Equity,AES,Utilities,AES Corp/The,USD,1,1
AMGN UW Equity,AMGN,Health Care,Amgen Inc,USD,1,1
AAPL UW Equity,AAPL,Information Technology,Apple Inc,USD,1,1
ADSK UW Equity,ADSK,Information Technology,Autodesk Inc,USD,1,1
CTAS UW Equity,CTAS,Industrials,Cintas Corp,USD,1,1
CMCSA UW Equity,CMCSA,Communication Services,Comcast Corp,USD,1,1
TAP UN Equity,TAP,Consumer Staples,Molson Coors Beverage Co,USD,1,1
KLAC UW Equity,KLAC,Information Technology,KLA Corp,USD,1,1
MAR UW Equity,MAR,Consumer Discretionary,Marriott International Inc/MD,USD,1,1
MKC UN Equity,MKC,Consumer Staples,McCormick & Co Inc/MD,USD,1,1
PCAR UW Equity,PCAR,Industrials,PACCAR Inc,USD,1,1
COST UW Equity,COST,Consumer Staples,Costco Wholesale Corp,USD,1,1
FRC UN Equity,FRC,Financials,First Republic Bank/CA,USD,1,1
SYK UN Equity,SYK,Health Care,Stryker Corp,USD,1,1
TSN UN Equity,TSN,Consumer Staples,Tyson Foods Inc,USD,1,1
LW UN Equity,LW,Consumer Staples,Lamb Weston Holdings Inc,USD,1,1
AMAT UW Equity,AMAT,Information Technology,Applied Materials Inc,USD,1,1
AAL UW Equity,AAL,Industrials,American Airlines Group Inc,USD,1,1
CAH UN Equity,CAH,Health Care,Cardinal Health Inc,USD,1,1
CERN UW Equity,CERN,Health Care,Cerner Corp,USD,1,1
CINF UW Equity,CINF,Financials,Cincinnati Financial Corp,USD,1,1
VIAC UW Equity,VIAC,Communication Services,ViacomCBS Inc,USD,1,1
DHI UN Equity,DHI,Consumer Discretionary,DR Horton Inc,USD,1,1
EA UW Equity,EA,Communication Services,Electronic Arts Inc,USD,1,1
EXPD UW Equity,EXPD,Industrials,Expeditors International of Washington I,USD,1,1
FAST UW Equity,FAST,Industrials,Fastenal Co,USD,1,1
MTB UN Equity,MTB,Financials,M&T Bank Corp,USD,1,1
XEL UW Equity,XEL,Utilities,Xcel Energy Inc,USD,1,1
FISV UW Equity,FISV,Information Technology,Fiserv Inc,USD,1,1
FITB UW Equity,FITB,Financials,Fifth Third Bancorp,USD,1,1
GILD UW Equity,GILD,Health Care,Gilead Sciences Inc,USD,1,1
HAS UW Equity,HAS,Consumer Discretionary,Hasbro Inc,USD,1,1
HBAN UW Equity,HBAN,Financials,Huntington Bancshares Inc/OH,USD,1,1
WELL UN Equity,WELL,Real Estate,Welltower Inc,USD,1,1
BIIB UW Equity,BIIB,Health Care,Biogen Inc,USD,1,1
NTRS UW Equity,NTRS,Financials,Northern Trust Corp,USD,1,1
PKG UN Equity,PKG,Materials,Packaging Corp of America,USD,1,1
PAYX UW Equity,PAYX,Information Technology,Paychex Inc,USD,1,1
PBCT UW Equity,PBCT,Financials,People's United Financial Inc,USD,1,1
QCOM UW Equity,QCOM,Information Technology,QUALCOMM Inc,USD,1,1
ROP UN Equity,ROP,Industrials,Roper Technologies Inc,USD,1,1
ROST UW Equity,ROST,Consumer Discretionary,Ross Stores Inc,USD,1,1
IDXX UW Equity,IDXX,Health Care,IDEXX Laboratories Inc,USD,1,1
SBUX UW Equity,SBUX,Consumer Discretionary,Starbucks Corp,USD,1,1
KEY UN Equity,KEY,Financials,KeyCorp,USD,1,1
FOXA UW Equity,FOXA,Communication Services,Fox Corp,USD,1,1
FOX UW Equity,FOX,Communication Services,Fox Corp,USD,1,1
STT UN Equity,STT,Financials,State Street Corp,USD,1,1
NCLH UN Equity,NCLH,Consumer Discretionary,Norwegian Cruise Line Holdings Ltd,USD,1,1
USB UN Equity,USB,Financials,US Bancorp,USD,1,1
AOS UN Equity,AOS,Industrials,A O Smith Corp,USD,1,1
NLOK UW Equity,NLOK,Information Technology,NortonLifeLock Inc,USD,1,1
TROW UW Equity,TROW,Financials,T Rowe Price Group Inc,USD,1,1
WM UN Equity,WM,Industrials,Waste Management Inc,USD,1,1
STZ UN Equity,STZ,Consumer Staples,Constellation Brands Inc,USD,1,1
XLNX UW Equity,XLNX,Information Technology,Xilinx Inc,USD,1,1
XRAY UW Equity,XRAY,Health Care,DENTSPLY SIRONA Inc,USD,1,1
ZION UW Equity,ZION,Financials,Zions Bancorp NA,USD,1,1
ALK UN Equity,ALK,Industrials,Alaska Air Group Inc,USD,1,1
IVZ UN Equity,IVZ,Financials,Invesco Ltd,USD,1,1
LIN UN Equity,LIN,Materials,Linde PLC,USD,1,1
INTU UW Equity,INTU,Information Technology,Intuit Inc,USD,1,1
MS UN Equity,MS,Financials,Morgan Stanley,USD,1,1
MCHP UW Equity,MCHP,Information Technology,Microchip Technology Inc,USD,1,1
CB UN Equity,CB,Financials,Chubb Ltd,USD,1,1
HOLX UW Equity,HOLX,Health Care,Hologic Inc,USD,1,1
CFG UN Equity,CFG,Financials,Citizens Financial Group Inc,USD,1,1
ORLY UW Equity,ORLY,Consumer Discretionary,O'Reilly Automotive Inc,USD,1,1
ALL UN Equity,ALL,Financials,Allstate Corp/The,USD,1,1
EQR UN Equity,EQR,Real Estate,Equity Residential,USD,1,1
BWA UN Equity,BWA,Consumer Discretionary,BorgWarner Inc,USD,1,1
OGN UN Equity,OGN,Health Care,Organon & Co,USD,1,1
HST UW Equity,HST,Real Estate,Host Hotels & Resorts Inc,USD,1,1
INCY UW Equity,INCY,Health Care,Incyte Corp,USD,1,1
SPG UN Equity,SPG,Real Estate,Simon Property Group Inc,USD,1,1
EMN UN Equity,EMN,Materials,Eastman Chemical Co,USD,1,1
TWTR UN Equity,TWTR,Communication Services,Twitter Inc,USD,1,1
AVB UN Equity,AVB,Real Estate,AvalonBay Communities Inc,USD,1,1
PRU UN Equity,PRU,Financials,Prudential Financial Inc,USD,1,1
UPS UN Equity,UPS,Industrials,United Parcel Service Inc,USD,1,1
WBA UW Equity,WBA,Consumer Staples,Walgreens Boots Alliance Inc,USD,1,1
STE UN Equity,STE,Health Care,STERIS PLC,USD,1,1
MCK UN Equity,MCK,Health Care,McKesson Corp,USD,1,1
LMT UN Equity,LMT,Industrials,Lockheed Martin Corp,USD,1,1
ABC UN Equity,ABC,Health Care,AmerisourceBergen Corp,USD,1,1
COF UN Equity,COF,Financials,Capital One Financial Corp,USD,1,1
WAT UN Equity,WAT,Health Care,Waters Corp,USD,1,1
DLTR UW Equity,DLTR,Consumer Discretionary,Dollar Tree Inc,USD,1,1
DRI UN Equity,DRI,Consumer Discretionary,Darden Restaurants Inc,USD,1,1
DPZ UN Equity,DPZ,Consumer Discretionary,Domino's Pizza Inc,USD,1,1
NVR UN Equity,NVR,Consumer Discretionary,NVR Inc,USD,1,1
NTAP UW Equity,NTAP,Information Technology,NetApp Inc,USD,1,1
CTXS UW Equity,CTXS,Information Technology,Citrix Systems Inc,USD,1,1
DXC UN Equity,DXC,Information Technology,DXC Technology Co,USD,1,1
ODFL UW Equity,ODFL,Industrials,Old Dominion Freight Line Inc,USD,1,1
DVA UN Equity,DVA,Health Care,DaVita Inc,USD,1,1
HIG UN Equity,HIG,Financials,Hartford Financial Services Group Inc/Th,USD,1,1
IRM UN Equity,IRM,Real Estate,Iron Mountain Inc,USD,1,1
EL UN Equity,EL,Consumer Staples,Estee Lauder Cos Inc/The,USD,1,1
CDNS UW Equity,CDNS,Information Technology,Cadence Design Systems Inc,USD,1,1
TYL UN Equity,TYL,Information Technology,Tyler Technologies Inc,USD,1,1
UHS UN Equity,UHS,Health Care,Universal Health Services Inc,USD,1,1
SWKS UW Equity,SWKS,Information Technology,Skyworks Solutions Inc,USD,1,1
NOV UN Equity,NOV,Energy,NOV Inc,USD,1,1
DGX UN Equity,DGX,Health Care,Quest Diagnostics Inc,USD,1,1
ATVI UW Equity,ATVI,Communication Services,Activision Blizzard Inc,USD,1,1
ROK UN Equity,ROK,Industrials,Rockwell Automation Inc,USD,1,1
KHC UW Equity,KHC,Consumer Staples,Kraft Heinz Co/The,USD,1,1
AMT UN Equity,AMT,Real Estate,American Tower Corp,USD,1,1
REGN UW Equity,REGN,Health Care,Regeneron Pharmaceuticals Inc,USD,1,1
AMZN UW Equity,AMZN,Consumer Discretionary,Amazon.com Inc,USD,1,1
JKHY UW Equity,JKHY,Information Technology,Jack Henry & Associates Inc,USD,1,1
RL UN Equity,RL,Consumer Discretionary,Ralph Lauren Corp,USD,1,1
BXP UN Equity,BXP,Real Estate,Boston Properties Inc,USD,1,1
APH UN Equity,APH,Information Technology,Amphenol Corp,USD,1,1
HWM UN Equity,HWM,Industrials,Howmet Aerospace Inc,USD,1,1
PXD UN Equity,PXD,Energy,Pioneer Natural Resources Co,USD,1,1
VLO UN Equity,VLO,Energy,Valero Energy Corp,USD,1,1
SNPS UW Equity,SNPS,Information Technology,Synopsys Inc,USD,1,1
WU UN Equity,WU,Information Technology,Western Union Co/The,USD,1,1
ETSY UW Equity,ETSY,Consumer Discretionary,Etsy Inc,USD,1,1
CHRW UW Equity,CHRW,Industrials,CH Robinson Worldwide Inc,USD,1,1
ACN UN Equity,ACN,Information Technology,Accenture PLC,USD,1,1
TDG UN Equity,TDG,Industrials,TransDigm Group Inc,USD,1,1
YUM UN Equity,YUM,Consumer Discretionary,Yum! Brands Inc,USD,1,1
PLD UN Equity,PLD,Real Estate,Prologis Inc,USD,1,1
FE UN Equity,FE,Utilities,FirstEnergy Corp,USD,1,1
VRSN UW Equity,VRSN,Information Technology,VeriSign Inc,USD,1,1
PWR UN Equity,PWR,Industrials,Quanta Services Inc,USD,1,1
HSIC UW Equity,HSIC,Health Care,Henry Schein Inc,USD,1,1
AEE UN Equity,AEE,Utilities,Ameren Corp,USD,1,1
